id;category;created_date;status;settings_metadata;deleted
1;NORMAL;2024-04-05;INACTIVE;besides although;false
2;OTHER;2024-04-06;PENDING_VERIFY;nicely around leafy;false
3;OTHER;2024-04-06;PENDING_VERIFY;welch gah though;true
4;NORMAL;2024-04-06;PENDING_VERIFY;um codon scruple;false
5;NORMAL;2024-04-06;PENDING_VERIFY;underneath brightly;false
6;NORMAL;2024-04-06;PENDING_VERIFY;next pray;false
7;NORMAL;2024-04-05;ACTIVE;while for;false
8;OTHER;2024-04-06;PENDING_VERIFY;fortunately although;true
9;OTHER;2024-04-06;PENDING_VERIFY;geez modulo assign;true
10;OTHER;2024-04-06;ACTIVE;oof;true
