id;street_address;apartment_unit;city;state_province_region;postal_code;country;latitude;longitude;local_geographic_division;municipal_community;additional_notes;number;zip_code;floor;directions
1;ouch unaccountably indeed;schedule near;Euclid;torch;likely turnip tensely;Uzbekistan;12904.2;19019.06;instead for step-mother;humor;../fake-data/blob/hipster.txt;thankfully;2249;4094;voluntarily consideration tenderly
2;rigidly;ferociously whose;New Timmothy;disavow unabashedly;swiftly pfft;New Zealand;7940.87;18204.54;outside considering tomorrow;incidentally tepid;../fake-data/blob/hipster.txt;out yahoo cautiously;4094;27426;note per
3;tom-tom till dining;joyfully;West Solon;distortion crossly wetly;debt spicy forenenst;Taiwan;14688.66;842.32;ingest hopelessly berry;impractical;../fake-data/blob/hipster.txt;without;1721;739;upright klutzy
4;cesspool;briefly remit;Kamronboro;but legal;toward relaxation gee;Uruguay;22149.18;3835.28;speedily ack;pard serene;../fake-data/blob/hipster.txt;boastfully;8001;22207;for
5;though finalize;which considering;Dietrichstead;while bolt tractor;hm because;South Sudan;8918.89;6626.04;famously age glom;limit generally through;../fake-data/blob/hipster.txt;reassemble caring;7462;30019;giant furiously
6;aha leading vent;nor hmph as;Frederiquetown;accurate at ear;bifurcate nor;Latvia;20907.88;3043.42;lie gently blackberry;a what given;../fake-data/blob/hipster.txt;finally;26516;14206;blah
7;tumbler queasily;absent indeed;Menifee;chicory thoughtfully;ironclad quixotic supposing;Reunion;23918.32;30593.71;after what toward;blah supposing beet;../fake-data/blob/hipster.txt;fatherly jovially;14671;7804;mortally barren
8;resupply reluctantly ugh;canine college elementary;Angieville;even;on;San Marino;22133.58;6096.51;decay um eclipse;for via;../fake-data/blob/hipster.txt;across phew;19298;31827;forever
9;paramecium;lead fooey;Pfeffermouth;profane;ideate all definite;Sao Tome and Principe;27273.3;2822.28;pfft;pace;../fake-data/blob/hipster.txt;sectional after;9022;1752;regarding that
10;inasmuch financing portly;or;Delano;so;unabashedly and;Tuvalu;28896.71;22929.76;when seeder;save;../fake-data/blob/hipster.txt;hm juicy;4281;21860;however
