id;price;created_date;extended_date;payed_date;status;retry;payment_id
1;5302.82;2024-04-06;2024-04-06;2024-04-05T16:28:51;EXPIRED;20229;embody pheromone geez
2;3138.12;2024-04-06;2024-04-05;2024-04-06T04:37:02;CANCELED;7796;gang fooey loose
3;12464.06;2024-04-06;2024-04-06;2024-04-06T02:13:16;RETRYING;966;shrill board upon
4;7876.91;2024-04-05;2024-04-06;2024-04-05T20:26:10;CANCELED;11372;amidst although now
5;15586.33;2024-04-06;2024-04-06;2024-04-05T15:05:10;PAYED;13558;safely ripe instead
6;22404.12;2024-04-06;2024-04-06;2024-04-06T07:47:06;EXPIRED;24036;agitated porch phew
7;23161.77;2024-04-06;2024-04-06;2024-04-06T08:21:05;RETRYING;7505;geez
8;29496.35;2024-04-06;2024-04-06;2024-04-05T19:34:14;EXPIRED;18327;outside
9;27137.73;2024-04-05;2024-04-05;2024-04-06T07:59:18;PAYED;14515;pillow average what
10;19592.36;2024-04-05;2024-04-06;2024-04-06T07:12:41;EXPIRED;6643;plus filthy somber
