id;verified;name;description;price;square_meters;plot_square_meters;number_of_bathrooms;number_of_bedrooms;number_of_kitchens;number_of_air_conditioner;house_rules;contract_years;next_available_date_for_rent;thumbnail;house_type;floor;number_of_flats;energy_class;construction;year_of_manufacture;year_of_renovation;property_code;furnitured;furnitured_description;deleted
1;true;seldom shot down;anenst softly sum;18924;18186.09;17546.67;29806;9112;20680;17681;../fake-data/blob/hipster.txt;9505;2024-04-05;28721;during;7650;9945;out;APARTMENT;10031;22237;worth;true;comfortable yahoo opposite;true
2;true;endorse;modest atop;21665;31904.39;11475.83;2073;4426;30758;18910;../fake-data/blob/hipster.txt;23438;2024-04-06;17370;when gosh;18503;4519;supposing whereas;FLAT;13877;16199;motive;true;infamous;true
3;false;along suddenly;along;1064;23587.97;21327.69;15530;28578;24154;28260;../fake-data/blob/hipster.txt;12845;2024-04-05;24867;though zowie worth;11652;21260;innocently;MAISONETTE;13170;23120;ah ouch;true;lazily;true
4;false;sympathetic expand instead;boo;22731;7516.28;15222.14;23779;1820;10502;7146;../fake-data/blob/hipster.txt;3491;2024-04-05;22915;embezzle hungrily guilty;3579;6643;woot;FLAT;3634;26173;than practical keep;true;bitterly blah intestine;false
5;false;youthfully kaleidoscopic unless;neat gah;31885;4004.11;3902.07;21707;14200;23478;18280;../fake-data/blob/hipster.txt;24519;2024-04-06;12326;stealthily;4001;27701;despite healthily;MAISONETTE;6531;5149;when because fooey;false;rim;true
6;true;times;and venison;8951;26058.22;7878.69;3576;12718;32406;25469;../fake-data/blob/hipster.txt;15599;2024-04-05;20292;anenst sheepishly waiter;6300;27381;flawed natural;APARTMENT;3016;22863;footprint likely snowball;true;checkmate verbally;false
7;true;if plaster resell;insect equation;24676;3835.87;1862.21;31286;20245;25175;11013;../fake-data/blob/hipster.txt;3552;2024-04-05;17583;aw untimely;15602;6910;access redo;FLAT;18613;1842;via with till;true;peer curly remorseful;false
8;false;notable;abbreviate;27699;21711.78;30614.19;5880;25068;26198;1649;../fake-data/blob/hipster.txt;29463;2024-04-05;26388;east whenever but;26466;5959;wound lamp attentive;APARTMENT;26195;25144;sanctify;false;when er;true
9;true;heap cleverly mysteriously;stopper turn;1242;5926.35;8366.62;15077;3381;30310;16609;../fake-data/blob/hipster.txt;4606;2024-04-06;6778;console willfully ratify;8518;23321;for;MAISONETTE;23989;18502;amongst unless autoimmunity;true;trim;true
10;false;apprehensive top elegantly;lightly ick greed;13605;18841.96;14284.92;4841;14726;15462;13510;../fake-data/blob/hipster.txt;25774;2024-04-06;12219;sunset fondly whenever;15451;97;joyful er;MAISONETTE;19924;1661;recoil collectivisation including;true;source dethrone mmm;true
