id;description;stars;created_date;updated_date;deleted
1;apropos conspire courageously;5652;2024-04-06;2024-04-05;false
2;fast before;23166;2024-04-06;2024-04-06;true
3;unionize lightly;29387;2024-04-06;2024-04-06;false
4;not fooey ick;28333;2024-04-06;2024-04-06;true
5;full;20460;2024-04-06;2024-04-06;true
6;oh;4785;2024-04-06;2024-04-06;false
7;yahoo;20187;2024-04-06;2024-04-05;true
8;noisily times imbibe;17206;2024-04-06;2024-04-06;true
9;cylindrical;22019;2024-04-05;2024-04-06;true
10;supposing;20297;2024-04-05;2024-04-06;true
