id;category;status;settings_metadata;subscription_type;deleted
1;NORMAL;ACTIVE;blunt;BASIC;false
2;NORMAL;ACTIVE;consequently;BASIC;true
3;OTHER;INACTIVE;vice ferociously;ADVANCED;true
4;NORMAL;PENDING_VERIFY;disco dictaphone;ADVANCED;true
5;OTHER;ACTIVE;yum;ADVANCED;true
6;NORMAL;ACTIVE;concern jagged;ADVANCED;true
7;NORMAL;PENDING_VERIFY;though disburse stall;BASIC;false
8;OTHER;PENDING_VERIFY;although ugh;BASIC;true
9;NORMAL;ACTIVE;whenever like following;BASIC;true
10;NORMAL;ACTIVE;parka;ADVANCED;true
